,Hashtag,WC,CC,FirstDate,Cluster,WC/CC
17593,dabears,9,29,Sun Sep 17 15:43:57 2017,2,0.310344827586
9596,atxtraffic,12,29,Mon Feb 20 16:20:23 2017,2,0.413793103448
563,trumpleaks,15,29,Mon May 15 18:54:01 2017,3,0.51724137931
13806,cyclonenation,7,29,Sat Feb  4 15:13:58 2017,2,0.241379310345
20933,whatisschool,12,29,Thu Jan 12 19:04:50 2017,2,0.413793103448
13721,nationalsigningday,11,28,Wed Feb  1 15:12:46 2017,2,0.392857142857
9109,ypsportschat,4,28,Wed Jan  4 01:01:20 2017,2,0.142857142857
13633,cpcldr,10,28,Fri May 26 16:58:23 2017,2,0.357142857143
9036,govols,6,28,Mon Sep  4 15:38:45 2017,2,0.214285714286
14624,p4kfest,1,28,Fri Jul 14 15:17:57 2017,2,0.0357142857143
15096,nebrasketball,8,28,Sat Dec 31 17:00:00 2016,2,0.285714285714
17430,gostars,3,28,Tue Jan 10 15:03:58 2017,2,0.107142857143
19513,standwithjemele,7,28,Wed Sep 13 15:42:21 2017,2,0.25
245,spellingbee,13,28,Wed May 31 15:00:21 2017,3,0.464285714286
917,wwegbof,14,28,Mon Jul  3 15:13:33 2017,3,0.5
4704,bhdogshow,10,28,Sun Apr 16 15:42:22 2017,2,0.357142857143
11893,downwarddog,12,28,Tue Jan 10 15:03:58 2017,2,0.428571428571
6599,insecrehbo,9,28,Mon Aug  7 15:27:33 2017,2,0.321428571429
9386,mufc,15,28,Sun Apr 16 15:42:22 2017,3,0.535714285714
16506,ballershbo,0,28,Mon Jul 24 15:21:57 2017,2,0.0
19978,stopsessions,13,28,Wed Jan  4 17:01:36 2017,3,0.464285714286
6032,laborday2017,11,28,Fri Sep  1 15:37:33 2017,2,0.392857142857
6430,kentuckyderby,14,28,Sat May  6 15:50:22 2017,3,0.5
13950,animalcrossingpocketcamp,13,28,Wed Oct 25 15:59:09 2017,3,0.464285714286
6965,readyforit,12,28,Sat Sep  2 21:38:03 2017,2,0.428571428571
4586,tcmff,10,28,Sat Apr  8 15:39:10 2017,2,0.357142857143
5074,outsiderswgn,2,28,Tue Jan 24 15:09:34 2017,2,0.0714285714286
6613,raiseit,8,28,Fri Apr  7 15:38:46 2017,2,0.285714285714
7528,rallycat,14,28,Tue Apr 11 23:40:30 2017,3,0.5
11394,beautyandbeast,13,28,Fri Mar 17 19:30:26 2017,3,0.464285714286
5266,ridicfridays,16,28,Fri Jan 20 16:07:59 2017,3,0.571428571429
9874,shameless,10,28,Sun Nov  5 15:03:32 2017,2,0.357142857143
8047,nordstrom,15,28,Thu Feb  2 15:13:10 2017,3,0.535714285714
14632,lastweektonight,5,28,Sun Feb 19 15:19:58 2017,2,0.178571428571
16286,handsoffmybc,11,28,Wed Apr 19 16:43:35 2017,2,0.392857142857
4937,ncaachampionship,12,28,Sun Apr  2 15:36:46 2017,2,0.428571428571
354,rockets,12,28,Sun Apr 16 15:42:22 2017,2,0.428571428571
11643,milo,9,28,Thu Feb  2 15:13:10 2017,2,0.321428571429
12434,disruptj20,15,28,Fri Jan 20 15:07:58 2017,3,0.535714285714
845,americangreatness,14,28,Sat Jul  1 16:12:46 2017,3,0.5
15619,mondaymorning,4,28,Mon Jan 23 15:09:10 2017,2,0.142857142857
18854,okwx,5,28,Fri Jan  6 15:02:22 2017,2,0.178571428571
14267,30for30,12,28,Thu Apr 13 15:41:10 2017,2,0.428571428571
13125,bruins,10,28,Wed Apr 12 15:40:46 2017,2,0.357142857143
18141,cowboys,8,27,Fri Apr 28 15:47:10 2017,2,0.296296296296
14303,bowwowchallenge,16,27,Wed May 10 15:51:58 2017,3,0.592592592593
10659,panthers,5,27,Wed Aug  9 16:28:22 2017,2,0.185185185185
3889,flyeagelsfly,3,27,Sun Sep 17 15:43:57 2017,2,0.111111111111
19980,obamasummit,11,27,Tue Oct 31 15:01:32 2017,2,0.407407407407
2701,rhoareunion,15,27,Sun Apr 16 15:42:22 2017,3,0.555555555556
11887,tmobiletuesdays,6,27,Tue Jan 24 15:09:34 2017,2,0.222222222222
3242,txlege,9,27,Tue Jan 10 15:03:58 2017,2,0.333333333333
13849,capsleafs,12,27,Tue Jan  3 22:01:17 2017,2,0.444444444444
17644,stlwx,2,27,Thu Jan  5 15:01:58 2017,2,0.0740740740741
15783,tompettyrip,14,27,Mon Oct  2 18:50:00 2017,3,0.518518518519
10785,harrystylesliveontour,11,27,Fri May  5 15:49:58 2017,2,0.407407407407
15514,marchonwashington,14,27,Sat Jan 21 15:08:22 2017,3,0.518518518519
21103,futurefriends,14,27,Thu Jun  8 18:03:36 2017,3,0.518518518519
7505,smallbusinessweek,11,27,Tue May  2 15:48:46 2017,2,0.407407407407
12823,ironfistِ,11,27,Fri Mar 17 15:30:22 2017,2,0.407407407407
19037,freedomofthepress,15,27,Fri Feb 24 15:21:58 2017,3,0.555555555556
16798,londonbridge,16,27,Sat Jun  3 20:01:38 2017,3,0.592592592593
13254,abgt250,13,27,Fri Mar 17 15:30:22 2017,3,0.481481481481
16300,revival,16,27,Fri Nov 10 15:05:32 2017,3,0.592592592593
5207,preds,5,27,Mon Jul 17 15:19:09 2017,2,0.185185185185
4719,terrorism,4,27,Wed Mar 22 15:32:22 2017,2,0.148148148148
4533,beatshazam,12,27,Thu May 25 15:57:58 2017,2,0.444444444444
12387,stitcherschat,5,27,Mon Jun  5 23:02:29 2017,2,0.185185185185
8642,iahsbkb,10,27,Tue Jan  3 17:01:12 2017,2,0.37037037037
3661,katia,5,27,Tue Sep  5 17:39:11 2017,2,0.185185185185
17261,womensequalityday,16,27,Fri Aug 25 15:34:45 2017,3,0.592592592593
19941,thecatch,10,27,Tue Jan 10 15:03:58 2017,2,0.37037037037
6076,humble,14,27,Thu Mar 30 15:35:34 2017,3,0.518518518519
12301,antiquesroadshow,6,27,Mon Jan  2 15:00:46 2017,2,0.222222222222
10225,kwanzaa,11,27,Tue Dec 26 16:23:57 2017,2,0.407407407407
5540,pocahontas,12,27,Sat Feb 11 15:16:46 2017,2,0.444444444444
9966,geauxtigers,8,26,Sat Jun 10 15:04:21 2017,2,0.307692307692
8300,cavs,12,26,Wed May 17 15:54:46 2017,3,0.461538461538
16538,donaldtrumpjr,11,26,Mon Jul 10 16:16:22 2017,2,0.423076923077
20316,sciencemarch,12,26,Wed Jan 25 15:09:58 2017,3,0.461538461538
6657,supermarioodyssey,9,26,Thu Oct 26 15:59:33 2017,2,0.346153846154
232,sunrecords,8,26,Thu Feb 23 15:21:34 2017,2,0.307692307692
14055,mnwild,9,26,Mon Feb 27 15:23:10 2017,2,0.346153846154
15448,indigenouspeoplesday,10,26,Wed Aug 30 15:36:45 2017,2,0.384615384615
14459,totality,10,26,Mon Aug 21 15:33:09 2017,2,0.384615384615
20001,mom2summit,12,26,Mon May  8 15:51:10 2017,3,0.461538461538
5515,dosomethinggop,15,26,Wed Aug 16 15:31:09 2017,3,0.576923076923
19267,beltre3k,11,26,Mon Jul 24 15:21:57 2017,2,0.423076923077
19194,virginia,12,26,Tue Nov  7 15:04:20 2017,3,0.461538461538
18182,royals,6,26,Mon Apr  3 15:37:10 2017,2,0.230769230769
7755,pdxsnow,9,26,Wed Jan 11 15:04:22 2017,2,0.346153846154
11183,socialroi,10,26,Tue Jan 17 18:06:49 2017,2,0.384615384615
2771,gogrg,4,26,Wed Mar 29 18:35:13 2017,2,0.153846153846
16267,nsd17,14,26,Wed Jan 25 15:09:58 2017,3,0.538461538462
20686,digitaldruglord,14,26,Mon Mar 20 18:31:37 2017,3,0.538461538462
20438,lifeofkylie,11,26,Mon Apr 10 16:39:59 2017,2,0.423076923077
9674,lwymmdvideo,5,26,Sun Aug 27 15:35:33 2017,2,0.192307692308
1630,stillstarcrossed,9,26,Mon May 29 15:59:34 2017,2,0.346153846154
18399,lacatuta,14,26,Mon Feb 13 17:17:36 2017,3,0.538461538462
10039,crazyexgirlfriend,9,26,Fri Jan  6 15:02:22 2017,2,0.346153846154
20536,usavpan,13,26,Tue Mar 28 15:34:46 2017,3,0.5
15753,staronfox,9,26,Thu Sep 28 15:48:21 2017,2,0.346153846154
12750,tarheelnation,6,26,Thu Feb  9 15:15:58 2017,2,0.230769230769
15363,july4th2017,14,26,Tue Jul  4 15:13:57 2017,3,0.538461538462
2203,nebpreps,8,26,Thu Aug 24 15:34:21 2017,2,0.307692307692
3672,curbyourenthusiasm,13,26,Mon Jul 10 16:16:22 2017,3,0.5
14287,standforouranthem,10,26,Mon Sep 25 15:47:09 2017,2,0.384615384615
9097,twilightzone,12,26,Sat Dec 31 17:00:00 2016,3,0.461538461538
5095,adobemax,12,26,Wed Oct 18 15:56:21 2017,3,0.461538461538
13644,ausopen,14,26,Thu Jan 12 18:04:49 2017,3,0.538461538462
16353,rhobhreunion,13,26,Tue Apr 11 22:40:29 2017,3,0.5
11503,thankyouobamas,12,26,Fri Jan 20 15:07:58 2017,3,0.461538461538
942,jemelehill,11,26,Wed Sep 13 15:42:21 2017,2,0.423076923077
16375,issagaygirl,7,26,Thu Mar  2 15:24:22 2017,2,0.269230769231
5165,unbreakablekimmyschmidt,3,26,Mon Feb 13 15:17:34 2017,2,0.115384615385
16276,sallyyatesisapatriot,14,25,Sun May  7 21:50:52 2017,3,0.56
11521,cf97,3,25,Sat Mar  4 16:25:11 2017,2,0.12
3462,princeroycefive,9,25,Wed Jan  4 00:01:19 2017,2,0.36
16945,whitneyhouston,2,25,Sat Feb 11 15:16:46 2017,2,0.08
8202,lovein3words,13,25,Thu Feb 23 16:21:35 2017,3,0.52
6681,bostonmarathon,12,25,Mon Apr 17 16:42:47 2017,3,0.48
4873,gogators,8,25,Sat Mar 18 15:30:46 2017,2,0.32
6617,onepursuit,12,25,Mon Apr  3 15:37:10 2017,3,0.48
17026,catholicconvo,10,25,Sat Jul  1 15:12:45 2017,2,0.4
1726,slatespeak,4,25,Fri Jan  6 00:02:07 2017,2,0.16
1439,bullsnation,7,25,Tue Mar 21 15:31:58 2017,2,0.28
314,nomuslimbanever,7,25,Mon May  8 15:51:10 2017,2,0.28
5103,nightwatch,5,25,Thu Jan  5 15:01:58 2017,2,0.2
4854,playersonly,4,25,Mon Feb 27 22:23:17 2017,2,0.16
1573,backtoyou,10,25,Sat Jun 24 15:09:57 2017,2,0.4
2564,thepoint,3,25,Sun Mar  5 15:25:34 2017,2,0.12
10877,boycottnfl,11,25,Sun Feb  5 15:14:22 2017,2,0.44
5367,topchef,3,25,Thu Jan  5 15:01:58 2017,2,0.12
21005,fantasticfest,4,25,Tue Aug  8 15:27:57 2017,2,0.16
20868,lockhimup,9,25,Thu Mar 30 15:35:34 2017,2,0.36
14177,slimgirltwitter,13,25,Thu Mar 23 15:32:46 2017,3,0.52
17306,nbaonabc,5,25,Sat Jan 21 19:08:26 2017,2,0.2
19786,cthsfb,11,25,Fri Sep  8 15:40:21 2017,2,0.44
15340,ynwa,6,25,Sat Jan 28 15:11:10 2017,2,0.24
3834,fifthharmony,12,25,Mon Aug  7 15:27:33 2017,3,0.48
3459,itssocold,11,25,Thu Dec 28 15:24:44 2017,2,0.44
17618,hawkeyes,11,25,Sat Sep  2 15:37:57 2017,2,0.44
9997,thelastship,7,25,Sun Aug 20 15:32:45 2017,2,0.28
5762,am2dm,10,25,Mon Sep 25 15:47:09 2017,2,0.4
14883,flotus,7,25,Fri Jan  6 15:02:22 2017,2,0.28
15003,ash17,3,25,Fri Dec  8 15:16:44 2017,2,0.12
17219,tillerson,9,25,Wed Jan 11 15:04:22 2017,2,0.36
1102,voiceplayoffs,10,25,Mon Apr 17 16:42:47 2017,2,0.4
9987,dwtsfinale,13,25,Mon May 22 15:56:46 2017,3,0.52
8978,snfonnbc,5,25,Sun Jan  1 20:00:27 2017,2,0.2
16026,youngernow,12,25,Tue Aug  8 15:27:57 2017,3,0.48
13446,vagov,5,25,Tue Jun 13 15:05:33 2017,2,0.2
957,mytwitteranniversary,13,25,Wed May 31 21:00:27 2017,3,0.52
8318,stlverdict,10,25,Fri Sep 15 15:43:09 2017,2,0.4
20151,edtechafterdark,4,25,Mon Feb 20 21:20:28 2017,2,0.16
3543,recordstoreday,10,25,Tue Mar 21 15:31:58 2017,2,0.4
15216,nationaldayofprayer,11,25,Thu May  4 15:49:34 2017,2,0.44
9422,longhorns,8,25,Sat Sep  2 15:37:57 2017,2,0.32
13680,onechicago,14,25,Tue Jan  3 16:01:11 2017,3,0.56
7112,wasnow,12,25,Sun Feb  5 15:14:22 2017,3,0.48
3412,mst3k,9,25,Fri Apr 14 15:41:34 2017,2,0.36
13647,spiritawards,8,25,Sat Feb 25 16:22:23 2017,2,0.32
12255,mlsallstar,10,25,Tue Jan 31 18:12:25 2017,2,0.4
9993,wizceltics,7,25,Wed Jan 11 22:04:29 2017,2,0.28
8190,arsenal,12,25,Sun Jan 22 15:08:46 2017,3,0.48
3539,12monkeys,13,25,Thu Mar 16 15:29:58 2017,3,0.52
20654,portlandstabbing,7,25,Sat May 27 15:58:46 2017,2,0.28
10270,winterstormstella,7,24,Mon Mar 13 15:28:46 2017,2,0.291666666667
2884,dangerouswomantour,6,24,Fri Feb  3 15:13:34 2017,2,0.25
2901,mobileliving,13,24,Fri Jan  6 15:02:22 2017,3,0.541666666667
7393,hhn27,10,24,Wed Mar 29 15:35:10 2017,2,0.416666666667
1438,7yearsofonedirection,10,24,Sat Jul 22 15:21:09 2017,2,0.416666666667
2948,eredcarpet,12,24,Mon Jan  9 15:03:34 2017,3,0.5
1223,devos,12,24,Tue Jan 17 15:06:46 2017,3,0.5
6972,larams,9,24,Sun Oct 15 16:55:10 2017,2,0.375
3726,inhumans,11,24,Tue Feb 21 17:20:48 2017,3,0.458333333333
14208,naturalhairtwitter,11,24,Sat Mar 25 15:33:34 2017,3,0.458333333333
15988,ncslsummit,11,24,Sat Aug  5 15:26:45 2017,3,0.458333333333
4486,meat14,8,24,Sat Nov 11 15:05:56 2017,2,0.333333333333
5497,theu,5,24,Fri Sep 29 15:48:45 2017,2,0.208333333333
17738,knicks,11,24,Wed Jun 28 15:11:33 2017,3,0.458333333333
9219,pitvskc,11,24,Fri Jan 13 16:05:11 2017,3,0.458333333333
12313,hootchat,10,24,Thu Jan 12 18:04:49 2017,2,0.416666666667
13727,pulsenightclub,10,24,Sun Jun 11 15:04:45 2017,2,0.416666666667
70,newyearseve,8,24,Mon Jan  2 15:00:46 2017,2,0.333333333333
2662,notoriousbig,10,24,Wed Mar  8 17:26:48 2017,2,0.416666666667
8101,texaschurchmassacre,14,24,Mon Nov  6 15:03:56 2017,3,0.583333333333
16777,brightnetflix,13,24,Fri Dec 22 16:22:21 2017,3,0.541666666667
4826,darkmatter,10,24,Fri Apr  7 15:38:46 2017,2,0.416666666667
14911,blackoutday,11,24,Tue Jun  6 15:02:45 2017,3,0.458333333333
20187,brickyard400,12,24,Tue May 23 18:57:13 2017,3,0.5
16356,flipgridfever,7,24,Tue Mar 14 21:29:16 2017,2,0.291666666667
1771,haltandcatchfire,4,24,Sat Aug 19 15:32:21 2017,2,0.166666666667
17296,weekendupdate,11,24,Sun Jan 22 15:08:46 2017,3,0.458333333333
4848,ufc208,14,24,Fri Jan 13 22:05:17 2017,3,0.583333333333
3959,wbc17,6,24,Fri Nov 10 15:05:32 2017,2,0.25
3828,thedefenders,4,24,Thu Jan 12 16:04:47 2017,2,0.166666666667
2467,lssc,4,24,Wed Jan  4 23:01:42 2017,2,0.166666666667
19410,wynnonaearp,7,24,Sat Jun 10 15:04:21 2017,2,0.291666666667
6806,cnnleaks,14,24,Wed Feb 22 18:21:13 2017,3,0.583333333333
19822,fwd2017,10,24,Tue Aug  1 16:25:10 2017,2,0.416666666667
20130,terps,7,24,Tue Jan 10 15:03:58 2017,2,0.291666666667
11847,juneteenth,12,24,Sat Jun 17 15:07:09 2017,3,0.5
5142,chicagojustice,3,24,Wed Jan 18 15:07:10 2017,2,0.125
20077,bcra,9,24,Thu Jun 22 15:09:09 2017,2,0.375
1597,thegongshow,10,24,Thu Jun 22 15:09:09 2017,2,0.416666666667
